116,[-10.           0.53508422   0.73857225   0.29992688   0.40222587]
117,[  0.33421034   0.53377142   0.73826104   0.29810078 -10.        ]
118,[-10.           0.53201004   0.73457806   0.29559573   0.39688097]
119,[0.33020432 0.52887563 0.72978481 0.29313244 0.39552095]
120,[0.32780865 0.52969349 0.72654133 0.29186076 0.39444579]
121,[-10.           0.52724995   0.72058648   0.28948097   0.39209428]
122,[-10.           0.52398983   0.71902969   0.2882292    0.39161232]
123,[0.32300115 0.52138261 0.7136509  0.28590478 0.39229222]
124,[-10.           0.51721155   0.70920038   0.28361754   0.39017746]
125,[0.32013698 0.51480193 0.710387   0.2854725  0.38826777]
126,[  0.31794047   0.5116325    0.70627478   0.28339733 -10.        ]
127,[0.3174215  0.5092913  0.70136724 0.28354336 0.38481192]
128,[-10.           0.5063707    0.71150266   0.28162791   0.38529249]
129,[0.31413352 0.50247768 0.70859431 0.27970495 0.38262706]
130,[0.31305268 0.50103076 0.70557828 0.28095318 0.38401415]
131,[0.31142149 0.49823148 0.70092915 0.27919391 0.3822358 ]
132,[0.30969686 0.49560082 0.69627783 0.27709471 0.38057444]
133,[0.30834202 0.49206678 0.69288897 0.2757387  0.37927214]
134,[0.30699922 0.4892534  0.68855924 0.27387971 0.37673882]
135,[0.30629916 0.48960029 0.68417228 0.27319115 0.37678726]
136,[  0.30524251   0.48681036   0.68271322   0.27185314 -10.        ]
137,[0.30352871 0.48480604 0.67912574 0.26988319 0.37207191]
138,[-10.           0.48388019   0.67494428   0.26922999   0.37088928]
139,[0.30005057 0.4821842  0.67036851 0.26745633 0.36831512]
140,[0.2984373  0.48166641 0.66604088 0.26690505 0.36624421]
141,[0.29701312 0.4791422  0.66333419 0.26535361 0.36694406]
142,[  0.2960641    0.47649719   0.65889844   0.26349799 -10.        ]
143,[0.294404   0.47445471 0.65501464 0.26257071 0.36390428]
144,[0.29286704 0.47161047 0.65114923 0.2612647  0.36581322]
145,[0.29253753 0.46951365 0.64808137 0.26027516 0.36577446]
146,[0.29132301 0.46632092 0.64466069 0.25867664 0.36490301]
147,[0.29048198 0.4685908  0.64045365 0.25692882 0.36371214]
148,[0.28880253 0.46817488 0.64384349 0.25925804 0.36201014]
149,[0.28746875 0.46505554 0.64031396 0.25752965 0.35959889]
150,[0.28665992 0.46259215 0.63647734 0.25602903 0.35879042]
151,[0.28564619 0.46225083 0.64093546 0.25536235 0.3591236 ]
152,[0.28495205 0.46060879 0.63931905 0.25369331 0.35749995]
153,[-10.           0.46007269   0.63814986   0.25372763 -10.        ]
154,[0.28330309 0.45732649 0.63914868 0.25210123 0.35515491]
155,[0.2819434  0.45489033 0.63573632 0.2507469  0.35392959]
156,[0.28046334 0.45469868 0.63490161 0.25041911 0.35356636]
157,[0.27907046 0.45235685 0.63108186 0.24883418 0.35396842]
158,[-10.           0.45122961   0.63154256   0.24790359 -10.        ]
159,[0.27694652 0.44887199 0.62917005 0.24770391 0.35051008]
160,[0.2763325  0.44952781 0.62709153 0.24616538 0.34988377]
161,[  0.27492964   0.44844281   0.62416133   0.24649644 -10.        ]
162,[0.27325463 0.44620606 0.62066954 0.24498481 0.34962549]
163,[-10.           0.44508046   0.61923253   0.24432548   0.35026375]
164,[0.27113943 0.44296837 0.61601573 0.24299716 0.35031801]
165,[0.26957105 0.44282527 0.6129257  0.24153332 0.34945486]
166,[0.26843166 0.44097596 0.60953562 0.24242606 0.34861174]
167,[  0.26752938   0.43838375   0.60649314   0.24098305 -10.        ]
168,[0.26620072 0.44008592 0.61176933 0.24025912 0.34553258]
169,[  0.26513273   0.43876965   0.60852921   0.23884689 -10.        ]
170,[-10.           0.43708045   0.60605202   0.23761367 -10.        ]
171,[0.26243585 0.43514072 0.60398505 0.23678884 0.34400982]
172,[  0.26273174   0.43281269   0.60134989   0.23542015 -10.        ]
173,[  0.26130076   0.4308584    0.5980582    0.23449141 -10.        ]
174,[0.26032984 0.42839694 0.59837303 0.23328512 0.34365855]
175,[0.25962741 0.42895899 0.59519681 0.23195964 0.34224004]
176,[0.25847275 0.4272213  0.59453565 0.23225059 0.34065676]
177,[0.25778326 0.42585044 0.59406702 0.23102378 0.3399387 ]
178,[0.25646546 0.42417323 0.59252608 0.2299907  0.34019586]
179,[  0.25578025   0.42439197   0.59742166   0.23022205 -10.        ]
180,[0.25533914 0.42303943 0.59498645 0.22895011 0.33814906]
181,[0.25404199 0.42225537 0.59386571 0.22868856 0.33943017]
182,[0.254586   0.42106611 0.59134967 0.22810239 0.33820657]
183,[0.25390045 0.41947695 0.58814588 0.22699331 0.33651513]
184,[0.25345195 0.41809778 0.58890617 0.22672828 0.33916216]
185,[0.2522501  0.41655433 0.58682528 0.22564365 0.33893673]
186,[0.25125912 0.41724941 0.58455586 0.2246828  0.33808708]
187,[0.25041425 0.41544578 0.58202872 0.22436271 0.33629202]
188,[0.24999907 0.41373795 0.57895796 0.22330681 0.33471348]
189,[0.24897243 0.41308175 0.57774136 0.22326276 0.33446883]
190,[0.24787793 0.41110176 0.57509184 0.2222266  0.33396591]
191,[0.24864783 0.40955112 0.57462858 0.2210764  0.33509485]
192,[0.24799597 0.40781186 0.58037272 0.22148171 0.33391705]
193,[0.24671766 0.40643297 0.5781619  0.22047343 0.3321973 ]
194,[0.2468405  0.40497794 0.57597456 0.22020289 0.33125976]
195,[  0.24715391   0.40376993   0.57415426   0.21934018 -10.        ]
