,Time,class,Count,From,To
155,5:00am - 6:00am,largeTrucks,,North,South
156,5:00am - 6:00am,bicycle_tricycle,,North,South
157,5:00am - 6:00am,jeepney,,North,South
158,5:00am - 6:00am,motorela,2,North,South
159,5:00am - 6:00am,others,,North,South
160,6:00am - 7:00am,cars_SUV,52,North,South
161,6:00am - 7:00am,motorcycles_scooters,20,North,South
162,6:00am - 7:00am,taxi,14,North,South
163,6:00am - 7:00am,buses,4,North,South
164,6:00am - 7:00am,smallTrucks,,North,South
165,6:00am - 7:00am,largeTrucks,,North,South
166,6:00am - 7:00am,bicycle_tricycle,,North,South
167,6:00am - 7:00am,jeepney,,North,South
168,6:00am - 7:00am,motorela,,North,South
169,6:00am - 7:00am,others,,North,South
170,7:00am - 8:00am,cars_SUV,116,North,South
171,7:00am - 8:00am,motorcycles_scooters,76,North,South
172,7:00am - 8:00am,taxi,59,North,South
173,7:00am - 8:00am,buses,,North,South
174,7:00am - 8:00am,smallTrucks,4,North,South
175,7:00am - 8:00am,largeTrucks,,North,South
176,7:00am - 8:00am,bicycle_tricycle,4,North,South
177,7:00am - 8:00am,jeepney,,North,South
178,7:00am - 8:00am,motorela,1,North,South
179,7:00am - 8:00am,others,2,North,South
180,8:00am - 9:00am,cars_SUV,167,North,South
181,8:00am - 9:00am,motorcycles_scooters,70,North,South
182,8:00am - 9:00am,taxi,62,North,South
183,8:00am - 9:00am,buses,,North,South
184,8:00am - 9:00am,smallTrucks,5,North,South
185,8:00am - 9:00am,largeTrucks,,North,South
186,8:00am - 9:00am,bicycle_tricycle,4,North,South
187,8:00am - 9:00am,jeepney,,North,South
188,8:00am - 9:00am,motorela,,North,South
189,8:00am - 9:00am,others,,North,South
190,9:00am - 10:00am,cars_SUV,152,North,South
191,9:00am - 10:00am,motorcycles_scooters,66,North,South
192,9:00am - 10:00am,taxi,61,North,South
193,9:00am - 10:00am,buses,,North,South
194,9:00am - 10:00am,smallTrucks,5,North,South
195,9:00am - 10:00am,largeTrucks,1,North,South
196,9:00am - 10:00am,bicycle_tricycle,2,North,South
197,9:00am - 10:00am,jeepney,,North,South
198,9:00am - 10:00am,motorela,,North,South
199,9:00am - 10:00am,others,2,North,South
200,10:00am - 11:00am,cars_SUV,205,North,South
201,10:00am - 11:00am,motorcycles_scooters,55,North,South
202,10:00am - 11:00am,taxi,77,North,South
203,10:00am - 11:00am,buses,1,North,South
204,10:00am - 11:00am,smallTrucks,2,North,South
205,10:00am - 11:00am,largeTrucks,3,North,South
206,10:00am - 11:00am,bicycle_tricycle,1,North,South
207,10:00am - 11:00am,jeepney,,North,South
208,10:00am - 11:00am,motorela,2,North,South
209,10:00am - 11:00am,others,,North,South
210,11:00am - 12:00nn,cars_SUV,175,North,South
211,11:00am - 12:00nn,motorcycles_scooters,67,North,South
212,11:00am - 12:00nn,taxi,70,North,South
213,11:00am - 12:00nn,buses,,North,South
214,11:00am - 12:00nn,smallTrucks,1,North,South
215,11:00am - 12:00nn,largeTrucks,,North,South
216,11:00am - 12:00nn,bicycle_tricycle,,North,South
217,11:00am - 12:00nn,jeepney,,North,South
218,11:00am - 12:00nn,motorela,,North,South
219,11:00am - 12:00nn,others,1,North,South
220,12:00nn - 1:00pm,cars_SUV,163,North,South
221,12:00nn - 1:00pm,motorcycles_scooters,59,North,South
222,12:00nn - 1:00pm,taxi,47,North,South
223,12:00nn - 1:00pm,buses,1,North,South
224,12:00nn - 1:00pm,smallTrucks,4,North,South
225,12:00nn - 1:00pm,largeTrucks,,North,South
226,12:00nn - 1:00pm,bicycle_tricycle,,North,South
227,12:00nn - 1:00pm,jeepney,,North,South
228,12:00nn - 1:00pm,motorela,1,North,South
229,12:00nn - 1:00pm,others,1,North,South
230,1:00pm - 2:00pm,cars_SUV,300,North,South
231,1:00pm - 2:00pm,motorcycles_scooters,64,North,South
232,1:00pm - 2:00pm,taxi,67,North,South
233,1:00pm - 2:00pm,buses,1,North,South
234,1:00pm - 2:00pm,smallTrucks,7,North,South
235,1:00pm - 2:00pm,largeTrucks,3,North,South
236,1:00pm - 2:00pm,bicycle_tricycle,2,North,South
237,1:00pm - 2:00pm,jeepney,,North,South
238,1:00pm - 2:00pm,motorela,,North,South
239,1:00pm - 2:00pm,others,1,North,South
240,2:00pm - 3:00pm,cars_SUV,259,North,South
241,2:00pm - 3:00pm,motorcycles_scooters,85,North,South
242,2:00pm - 3:00pm,taxi,70,North,South
243,2:00pm - 3:00pm,buses,,North,South
244,2:00pm - 3:00pm,smallTrucks,1,North,South
245,2:00pm - 3:00pm,largeTrucks,4,North,South
246,2:00pm - 3:00pm,bicycle_tricycle,8,North,South
247,2:00pm - 3:00pm,jeepney,,North,South
248,2:00pm - 3:00pm,motorela,1,North,South
249,2:00pm - 3:00pm,others,,North,South
250,3:00pm - 4:00pm,cars_SUV,229,North,South
251,3:00pm - 4:00pm,motorcycles_scooters,117,North,South
252,3:00pm - 4:00pm,taxi,59,North,South
253,3:00pm - 4:00pm,buses,4,North,South
254,3:00pm - 4:00pm,smallTrucks,10,North,South
255,3:00pm - 4:00pm,largeTrucks,2,North,South
256,3:00pm - 4:00pm,bicycle_tricycle,5,North,South
257,3:00pm - 4:00pm,jeepney,,North,South
258,3:00pm - 4:00pm,motorela,,North,South
259,3:00pm - 4:00pm,others,4,North,South
260,4:00pm - 5:00pm,cars_SUV,307,North,South
261,4:00pm - 5:00pm,motorcycles_scooters,99,North,South
262,4:00pm - 5:00pm,taxi,66,North,South
263,4:00pm - 5:00pm,buses,1,North,South
264,4:00pm - 5:00pm,smallTrucks,6,North,South
265,4:00pm - 5:00pm,largeTrucks,,North,South
266,4:00pm - 5:00pm,bicycle_tricycle,2,North,South
267,4:00pm - 5:00pm,jeepney,,North,South
268,4:00pm - 5:00pm,motorela,,North,South
269,4:00pm - 5:00pm,others,,North,South
270,5:00pm - 6:00pm,cars_SUV,344,North,South
271,5:00pm - 6:00pm,motorcycles_scooters,149,North,South
272,5:00pm - 6:00pm,taxi,72,North,South
273,5:00pm - 6:00pm,buses,,North,South
274,5:00pm - 6:00pm,smallTrucks,4,North,South
275,5:00pm - 6:00pm,largeTrucks,1,North,South
276,5:00pm - 6:00pm,bicycle_tricycle,,North,South
277,5:00pm - 6:00pm,jeepney,,North,South
278,5:00pm - 6:00pm,motorela,,North,South
279,5:00pm - 6:00pm,others,3,North,South
280,6:00pm - 7:00pm,cars_SUV,385,North,South
281,6:00pm - 7:00pm,motorcycles_scooters,129,North,South
282,6:00pm - 7:00pm,taxi,28,North,South
283,6:00pm - 7:00pm,buses,,North,South
284,6:00pm - 7:00pm,smallTrucks,2,North,South
285,6:00pm - 7:00pm,largeTrucks,,North,South
